id,name,timestamp,free_bikes,empty_slots,uid,last_updated,slots,normal_bikes,ebikes
023efce1bbb332a1b918d56aeb671890,Avenida de Arteixo,2024-12-13T17:47:46.162308Z,1,14,53,1734111966,15,1,0
02cecd02915c86d7ab8034b61b19da0e,Mercado de Monte Alto,2024-12-13T17:47:46.162162Z,8,7,43,1734111970,15,8,0
030c4027b0bea390e562645c7082db4c,Los Rosales,2024-12-13T17:47:46.161519Z,1,24,11,1734111874,25,0,1
0e3aa0134a2f3d07ae5bd093e6af9a33,Plaza de Portugal,2024-12-13T17:47:46.162340Z,17,1,55,1734111988,20,15,2
104e0797759d11ac22a61cfed357800b,Ventorrillo,2024-12-13T17:47:46.161936Z,0,18,27,1734111990,18,0,0
10af3b0e504fc241415d4047a58bfb5b,Cd Castrillón,2024-12-13T17:47:46.161867Z,1,14,23,1734111923,15,0,1
15b6693701eb534cddabc0bdd4c3b8a2, Pablo Picasso,2024-12-13T17:47:46.161903Z,10,9,25,1734111993,19,10,0
16d30b6bb080c9ceac0ab0ca3b20111a,Barrio de las Flores,2024-12-13T17:47:46.162000Z,5,18,31,1734111920,23,5,0
18b3d4c21c5cec9d8e25fa0a6cab109a,Torre de Hércules,2024-12-13T17:47:46.161278Z,3,11,5,1734112020,15,0,3
18e32269ce7f371acf5ca7f016b07a2a,Campo de Marte,2024-12-13T17:47:46.161616Z,6,9,17,1734110063,15,6,0
198820c7b5fc5681e896110c4383a4a0,Hospital Abente y Lago,2024-12-13T17:47:46.162145Z,3,11,42,1734112041,15,3,0
1a77b47ff9c828307610737e1a9046c3,Plaza de Tabacos,2024-12-13T17:47:46.161570Z,4,14,14,1734112012,19,4,0
1df27d4197c65e404466107444967600,Casa del Agua,2024-12-13T17:47:46.162373Z,13,2,57,1734111973,16,12,2
2139f0834a27ab807a5edb3420c2841e,Plaza De Pontevedra,2024-12-13T17:47:46.161231Z,14,9,3,1734111916,29,14,2
280380564f13b15dbc782a43d2426689,Estación Autobuses,2024-12-13T17:47:46.161329Z,5,10,8,1734111952,15,5,0
2ad08bdfd5fda295855b0297d410716f,Orillamar,2024-12-13T17:47:46.162112Z,1,14,40,1734111897,15,1,0
2cdf0b7a087c888dee45f8c619ea5bb2,Aquarium,2024-12-13T17:47:46.161258Z,1,14,4,1734111969,15,1,0
